fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1908-09-17,1908,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,1,1,1,0,0,1
1909-09-07,1909,"Juvisy-sur-Orge, France",,Air show,Wright Byplane,1,0,1,1,0,0,0,1
1912-07-12,1912,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,0,5,5,0,5,0,5
1913-08-06,1913,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,1,0,1,1,0,1,0,1
1913-09-09,1913,Over the North Sea,Military - German Navy,,Zeppelin L-1 (airship),20,,,14,,,0,14
1913-10-17,1913,"Near Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),28,,,28,,,0,28
1915-03-05,1915,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),41,0,41,17,0,17,0,17
1915-09-03,1915,"Off Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),19,,,19,,,0,19
1916-07-28,1916,"Near Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),20,,,20,,,0,20
1916-09-24,1916,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),22,,,22,,,0,22
1916-10-01,1916,"Potters Bar, England",Military - German Navy,,Zeppelin L-31 (airship),19,0,19,19,0,19,0,19
1916-11-21,1916,"Mainz, Germany",Military - German Army,,Super Zeppelin (airship),28,,,27,,,0,27
1916-11-28,1916,"Off West Hartlepool, England",Military - German Navy,,Zeppelin L-34 (airship),20,,,20,,,0,20
1917-03-04,1917,"Near Gent, Belgium",Military - German Army,,Airship,20,,,20,,,0,20
1917-03-30,1917,Off Northern Germany,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,,,23,,,0,23
1917-05-14,1917,"Near Texel Island, North Sea",Military - German Navy,,Zeppelin L-22 (airship),21,,,21,,,0,21
1917-06-14,1917,"Off Vlieland Island, North Sea",Military - German Navy,,Zeppelin L-43 (airship),24,,,24,,,0,24
1917-06-17,1917,"Near Yarmouth, England",,,Zepplin L-48 (air ship),16,,,14,,,0,14
1917-08-21,1917,Off western Denmark,Military - German Navy,,Zeppelin L-23 (airship),18,,,18,,,0,18
1917-10-20,1917,"Near Luneville, France",Military - German Navy,,Zeppelin L-44 (airship),18,,,18,,,0,18
1918-04-07,1918,Over the Mediterranean,Military - German Navy,,Zeppelin L-59 (airship),23,,,23,,,0,23
1918-08-05,1918,"Off Helgoland Island, Germany",Military - German Navy,,Zeppelin L-70 (airship),22,,,22,,,0,22
1918-08-11,1918,"Ameland Island, North Sea",Military - German Navy,,Zeppelin L-53 (airship),19,,,19,,,0,19
1918-12-16,1918,"Elizabeth, New Jersey",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-05-25,1919,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-07-19,1919,"Dix Run, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-07-21,1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,,,,3,2,1,10,13
1919-08-02,1919,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,14,12,2,14,12,2,0,14
1919-10-02,1919,"Newcastle, England",Aircraft Transport and Travel,,De Havilland DH-4,1,0,1,1,0,1,0,1
1919-10-14,1919,"Cantonsville, Maryland",US Aerial Mail Service,,Curtiss R-4LM,1,0,1,1,0,1,0,1
1919-10-20,1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,,De Havilland DH-4,0,0,1,0,0,0,0,0
1919-10-30,1919,"Long Valley, New Jersey",US Aerial Mail Service,,De Havilland DH.4,1,0,1,1,0,1,0,1
1919-12-11,1919,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1,1,1,1,1,1,0,1
1920-03-10,1920,"New Paris, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-03-30,1920,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-04-10,1920,"Newark, New Jersey",US Aerial Mail Service,,Curtiss R-4LM,2,1,1,1,0,1,0,1
1920-04-11,1920,"Heller Field, New Jersey",US Aerial Mail Service,,Curtiss JN-4H,2,1,1,1,0,1,0,1
1920-05-12,1920,"Oskaloosa, Iowa",US Aerial Mail Service,,De Havilland DH-4,2,1,1,1,1,0,0,1
1920-06-06,1920,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-07-20,1920,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,,Farman F-40,1,1,1,1,1,1,0,1
1920-08-16,1920,"Bedford, England",By Air,,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,0,1
1920-08-16,1920,"College Park, Maryland",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-09-01,1920,"Morristown, New Jersey",US Aerial Mail Service,,Junkers JL-6,2,0,2,2,0,2,0,2
1920-09-15,1920,"Pemberville, Ohio",US Aerial Mail Service,,Junkers F-13,2,,,2,,,0,2
1920-09-27,1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-10-02,1920,"Off Port Vendres, France",Latecoere Airlines,,Salmson 2-A-2,2,1,1,2,1,1,0,2
1920-10-05,1920,"Valencia, Spain",Latecoere Airlines,,Breguet 14,2,1,1,2,1,1,0,2
1920-10-15,1920,"Batavia, Illinois",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-11-07,1920,"Tie Siding, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1920-12-14,1920,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,8,6,2,4,2,2,0,4
1920-12-24,1920,"Barcelona, Spain",Aeropostale,,Breguet 14,1,0,1,1,0,1,0,1
1921-02-03,1921,"Mendotta, Minnisota",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1921-02-09,1921,"La Crosse, Wisconsin",US Aerial Mail Service,,Junkers F-13,3,0,3,3,0,3,0,3
1921-02-15,1921,Off Gibraltar,Aeropostale,,Breguet 14,2,0,2,2,0,2,0,2
1921-02-22,1921,"Elko, Nevada",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1921-04-06,1921,"Point Cook, Australia",Military - Royal Australian Air Force,,Avro 504,2,0,0,2,0,0,0,2
1921-04-21,1921,"Mitchel Field, NY",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1921-04-29,1921,"Cleveland, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1921-05-17,1921,"Rock Springs, Wyoming",US Aerial Mail Service,,"De Havilland DH-4De Havilland DH-4",1,0,1,1,0,1,0,1
1921-08-14,1921,"Toulouse, France",Aeropostale,,Breguet 14,2,,,2,,,0,2
1921-08-24,1921,"River Humber, England",Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),49,0,49,43,0,43,1,44
1921-09-06,1921,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,5,4,1,5,4,1,0,5
1921-12-05,1921,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,2,0,2,2,0,2,0,2
1922-01-14,1922,"Paris, France",Handley Page Transport,,Handley Page O/10,5,4,1,5,4,1,5,10
1922-02-21,1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,Dirigible Roma (airship),45,,,34,,,0,34
1922-03-22,1922,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),6,5,1,5,5,0,0,5
1922-04-07,1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7,5,2,7,5,2,0,7
1922-04-08,1922,"Pao Ting Fou, China",,Test,,17,0,17,17,0,17,0,17
1922-06-03,1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,3,2,1,3,2,1,0,3
1922-07-04,1922,"Fuhlsbuttel, Germany",,Hamburg - Berlin,LVG C VI,3,2,1,2,1,1,0,2
1922-07-16,1922,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,5,4,1,5,4,1,0,5
1922-07-26,1922,"Cadix, Spain",Grands Express Aeriens,,Breguet 14,3,2,1,3,2,1,0,3
1922-09-07,1922,"Indianapolis, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1922-10-02,1922,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,4,3,1,4,3,1,0,4
1922-10-25,1922,"Larache, Morocco",Grands Express Aeriens,,Breguet 14,2,1,1,2,1,1,0,2
1922-12-03,1922,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1,0,1,1,0,1,0,1
1923-01-10,1923,"Ajaccio, France",Amee de l'Air,,Lioré-et-Olivier H-13,4,2,2,3,1,2,0,3
1923-01-17,1923,"Barcelona, Spain",Grands Express Aeriens,,Breguet 14,1,0,1,1,0,1,0,1
1923-01-18,1923,"Cheyenne, Wyoming",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1923-02-26,1923,"Meadville, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1923-05-14,1923,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,6,4,2,6,4,2,0,6
1923-08-27,1923,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11,9,2,1,1,0,0,1
1923-08-27,1923,"Bucharest, Romania",Campagnie France Roumaine,,Blériot Spad 46,2,1,1,2,1,1,0,2
1923-09-07,1923,"Colton, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1923-09-14,1923,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,5,3,2,5,3,2,0,5
1923-11-18,1923,Russia,CCCP,,Junkers F-13,5,2,3,3,1,2,0,3
1923-12-06,1923,"Castalia, Ohio",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1923-12-23,1923,Over the Mediterranean Sea,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52,,,52,,,0,52
1923-12-24,1923,"Egbert, WY",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1924-03-07,1924,"Grampian, Pennsylvania",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1924-04-24,1924,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,2,1,3,2,1,0,3
1924-06-08,1924,"Barranquilla, Colombia",SCADTA,Barranquilla - Bogota,Junkers F-13,5,3,2,5,3,2,0,5
1924-08-01,1924,United States,US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1924-11-06,1924,"Cabrerolles, France",Grands Express Aeriens,,Breguet 14,1,0,1,1,0,1,0,1
1924-12-21,1924,"Goshen, Indiana",US Aerial Mail Service,,De Havilland DH-4,1,0,1,1,0,1,0,1
1924-12-24,1924,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,8,7,1,8,7,1,0,8
1925-03-22,1925,"Near Tiflis, Georgia, USSR",Zakavia,Tiflis - Suchumi,Junkers F-13,5,3,2,5,3,2,0,5
1925-04-25,1925,"Alicante, Spain",Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,3,1,2,3,1,2,0,3
1925-06-25,1925,"Landrécies, France",KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker (KLM)  F.III,4,3,1,4,3,1,0,4
1925-06-26,1925,"Alicante, Spain",Grands Express Aeriens,Oran - Alicante,Lioré-et-Olivier LeO H-13,2,0,2,2,0,2,0,2
1925-07-20,1925,"Rosas, Spain",Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,1,0,1,1,0,1,0,1
1925-07-24,1925,"Budapest, Hungary",CIDNA,,Potez IX,1,0,1,1,0,1,0,1
1925-09-03,1925,"Caldwell, Ohio",Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0,14,0,14
1925-09-07,1925,"Toul, France",CIDNA,,Spad 33,,,,,,,,
1925-10-01,1925,"Mt. Nittany, Ohio",US Aerial Mail Service,New York - San Francisco,De Havilland DH-4,1,0,1,1,0,1,0,1
1925-11-14,1925,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,,Breguet 14,1,0,1,1,0,1,0,1
1925-11-14,1925,"Off Boulogne-sur-Mer, France",Air Union,,Farman F-60 Goliath,2,,,2,,,0,2
1926-02-12,1926,"Montpelier, Ohio",US Aerial Mail Service,,Curtiss Carrier Pigeon,1,0,1,1,0,1,0,1
1926-03-08,1926,"Staaken, Germany",Deutche Lufthansa,,Junkers F-13,1,0,1,1,0,1,0,1
1926-05-31,1926,English Channel,Air Union,Paris - Cryodon,Breguet 14,1,0,1,1,0,1,0,1
1926-07-03,1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,6,4,2,6,4,2,0,6
1926-07-09,1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,2,1,1,2,1,1,0,2
1926-07-24,1926,"Juist, Germany",Deutsche Lufthansa,,Junkers F-13,5,4,1,5,4,1,0,5
1926-08-18,1926,"Hurst, Kent, England",Air Union,"Lebourget, France - Croydon, England",Bleriot 155,15,13,2,3,2,1,0,3
1926-09-26,1926,"New York, New York",,New York - Paris,Sikorsky S-25,5,4,1,2,2,0,0,2
1926-10-02,1926,"Leigh, Kent, Unied Kingdom",Air Union,Paris - London,Bleriot 155,7,5,2,7,5,2,0,7
1926-10-08,1926,"Bueren, Germany",Deutsche Lufthansa,,Fokker FG III,4,3,1,4,3,1,0,4
1926-10-21,1926,English Channel,Imperial Airways,Croydon - Paris,Handley Page W-10,12,10,2,0,0,0,0,0
1926-11-11,1926,"Cape Bojador, Morocco",Grands Express Aeriens,Casablanca -Dakar,Breguet 14,3,3,0,3,3,0,0,3
1926-12-16,1926,"Medford, Oregon",Pacific Air Transport,,Ryan M-1,1,0,1,1,0,1,0,1
1927-01-12,1927,"Estaires, France",Fokker,Delivery flight,Fokker F-VII,0,0,2,0,0,2,0,0
1927-03-20,1927,"Rabat, Morocco",Grands Express Aeriens,Casablanca - Oran,Breguet 14,1,0,1,1,0,1,0,1
1927-03-24,1927,"Tambo, Qld, Australia",Qantas,Charleville - Tambo - Blackall,de Havilland DH-9C,3,2,1,3,2,1,0,3
1927-04-15,1927,"King Hill, Idaho",Varney Air Lines,,"SwallowSwallow",1,0,1,1,0,1,0,1
1927-04-22,1927,"Floh, Germany",Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker FG III,2,1,1,2,1,1,0,2
1927-04-22,1927,"Goshen, Indiana",US Aerial Mail Service,,Douglas M-4,1,0,1,1,0,1,0,1
1927-05-02,1927,"Algiers, Algeria",Air Union,,SPCA Meteore 63,3,0,3,1,0,1,0,1
1927-07-27,1927,"Amoneburg, Germany",Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,5,3,2,5,3,2,0,5
1927-08-22,1927,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,11,9,2,1,0,1,0,1
1927-09-03,1927,"Willington, Connecticut",Colonial Air Transport,,Fokker Universal,1,0,1,1,0,1,0,1
1927-09-17,1927,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,12,11,1,7,6,1,0,7
1927-09-17,1927,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,3,1,2,3,1,2,0,3
1927-09-23,1927,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,6,4,2,6,4,2,0,6
1927-10-06,1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,2,0,2,2,0,2,0,2
1927-10-30,1927,"New Brunswick, New Jersey",Colonial Air Transport,,Fairchild FC-2,4,3,1,4,3,1,0,4
1927-11-08,1927,"Strasburg, France",CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,1,0,1,1,0,1,0,1
1927-11-16,1927,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,6,4,2,6,4,2,0,6
1927-11-29,1927,"Corunna, Indiana",National Air Transport,,Douglas M-4,1,0,1,1,0,1,0,1
1927-12-28,1927,"Almeria, Spain",Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1,0,1,1,0,1,0,1
1927-12-31,1927,"Near Marseille,France",Latecoere Airlines,Test flight,Latécoère 23 (flying boat),5,0,5,5,0,5,0,5
1928-01-08,1928,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,1,2,3,1,2,0,3
1928-01-16,1928,"Solis, Uruguay",Aeropostale,Buenos Aires - Montevideo,Latecoere 25,2,0,2,2,0,2,0,2
1928-01-22,1928,"L'Hospitalet, Ariège",Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,1,0,1,1,0,1,0,1
1928-01-22,1928,"Tarragona, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,2,0,2,2,0,2,0,2
1928-01-27,1928,"Almeria, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1,0,1,1,0,1,0,1
1928-02-26,1928,"Marquette, Nebraska",Boeing Air Transport,,Boeing 40,2,1,1,1,1,0,0,1
1928-03-11,1928,"Off Cape Griz Nez, France",Air Union,Paris - Croydon,Farman F-60 Goliath,2,0,2,2,0,2,0,2
1928-04-17,1928,"Federal, Wyoming",Boeing Air Transport,,Boeing 40,2,1,1,1,1,0,0,1
1928-04-19,1928,"Minuesa, Spain",Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,9,7,2,9,7,2,0,9
1928-05-07,1928,"Florianopolis, BrazilFlorianopolis, BrazilFlorianopolis, Brazil",Aeropostale,,Latecoere 26,5,3,2,1,1,0,0,1
1928-05-12,1928,"Dearborn, Minnesota",Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,2,0,2,2,0,2,0,2
1928-05-26,1928,"Radevormwald, Germany",Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,5,4,1,3,2,1,0,3
1928-06-14,1928,"Frankfurt, Germany",Deutsche Lufthansa,,AEGK,5,4,1,5,4,1,0,5
1928-06-22,1928,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,1,0,1,1,0,1,0,1
1928-07-10,1928,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,6,4,2,6,4,2,0,6
1928-07-13,1928,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,6,5,1,4,4,0,0,4
1928-07-24,1928,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,6,5,1,1,1,0,0,1
1928-08-25,1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,0,7
1928-09-02,1928,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,5,2,3,5,2,3,0,5
1928-09-04,1928,"Adelaide Hills, Australia",Qantas,Adelaide - Longreach,de Havilland DH.50J,2,0,2,1,0,1,0,1
1928-09-04,1928,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,7,6,1,7,6,1,0,7
1928-09-06,1928,"Heroldbach, Germany",Deutsche Lufthansa,,Fokker FG III,3,2,1,3,2,1,0,3
1928-10-04,1928,"Gerona, Spain",Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,3,2,1,3,2,1,0,3
1928-10-18,1928,"Polk, Pennsylvania",National Air Transport,,Douglas M-4,1,0,1,1,0,1,0,1
1928-10-31,1928,"Valence, France",Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,2,1,1,1,0,1,0,1
1928-11-15,1928,Off Gibraltar,Aeropostale,Marseille - Palma de Majorca,Latecoere 32,3,,3,1,0,1,0,1
1928-11-24,1928,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,3,2,1,3,2,1,0,3
1928-11-25,1928,"Edgerton, Ohio",Continental Air Lines,Cleveland - Louisville,Travel Air 4000,1,0,1,1,0,1,0,1
1928-11-25,1928,"Bristolville, Ohio",National Air Transport,,Douglas M-4,1,0,1,1,0,1,0,1
1928-12-01,1928,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5,4,1,5,4,1,0,5
1928-12-03,1928,"Near Rio de Janeiro,Brazil",Syndicato Condor,Sightseeing,Dornier Wal,14,9,5,14,9,5,0,14
1928-12-10,1928,"Spokan, Washington",Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,5,3,2,5,3,2,0,5
1928-12-11,1928,"Letzlingen, Germany",Deutsche Lufthansa,Cologne -  Berlin,Junkers G-31,4,1,3,3,0,3,0,3
1928-12-20,1928,"Huron, Ohio",National Air Transport,Cleveland - Chicago,Douglas M-4,1,0,1,1,0,1,0,1
1928-12-23,1928,"Chattanooga, Tennessee",Interstate Airlines,,Fairchild FC-2,4,3,1,4,3,1,0,4
1928-12-31,1928,"Reims, France",CIDNA,Strasbourg - Paris,Blériot Spad 66,3,2,1,2,2,0,0,2
1929-01-05,1929,"Stafford Springs, Connecticut",Colonial Air Transport,,Fairchild FC-2,1,0,1,1,0,1,0,1
1929-01-18,1929,"Cove, Oregon",Varney Air Lines,"Boise, ID - Pasco, WA",Stearman C-38,1,0,1,1,0,1,0,1
1929-01-25,1929,"Near Corfu, Greece",Aeroespresso,Brindisi - Athens - Istanbul,CMASA Wal,9,7,2,2,7,2,0,2
1929-01-31,1929,Off Morocco,Aeropostale,Agadir - Casablanca,Latecoere 26,2,0,2,2,0,2,0,2
1929-01-31,1929,"Morgantown, West Virginia",Skyline Transportation Company,,Travel Air 4000,1,0,1,1,0,1,0,1
1929-03-17,1929,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15,13,2,14,13,1,0,14
1929-03-30,1929,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,3,1,4,3,1,0,4
1929-04-21,1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3,6,3,3,0,6
1929-05-09,1929,"Tampico, Mexico",Mexicana,"Tampico - Brownsville, TX",Ford Tri-motor 4,5,4,1,5,4,1,0,5
1929-05-18,1929,"Tököl,  Pest Hungary",MALERT,,Fokker F-III,2,0,2,2,0,2,0,2
1929-05-22,1929,Algiers,Aeropostale,Algiers - Marseille,Cams 53,6,3,3,4,3,2,0,4
1929-06-13,1929,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,5,1,4,2,1,1,0,2
1929-06-14,1929,"Barcelona, Spain",Aeropostale,Janeiro - Buenos Aires,Breguet 14,2,0,2,1,0,1,0,1
1929-06-17,1929,"Off Dungeness, England",Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,13,11,2,7,7,0,0,7
1929-06-24,1929,"St. Paul, Minnesota",Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8,6,2,1,0,1,0,1
1929-06-29,1929,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,,Domier Delphin III (flying boat),5,4,1,5,4,1,0,5
1929-06-29,1929,"Columbus, Ohio",Continental Air Lines,,Travel Air 4000,1,0,1,1,0,1,0,1
1929-08-11,1929,"Clovis, New Mexico",Middle States Airlines,,Lockheed 5 Vega,4,2,2,4,2,2,0,4
1929-08-24,1929,"Sochi, Russia",Ukvozduchput,,Kalinin K-4,1,0,1,1,0,1,0,1
1929-08-24,1929,"Elm, Germany",Deutsche Lufthansa,Frankfurt - Berlin,Fokker FG II,5,4,1,4,3,1,0,4
1929-09-02,1929,"Needles, California",Associated Aviators,,Lockheed Vega,2,0,2,1,0,1,0,1
1929-09-03,1929,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,8,5,3,8,5,3,0,8
1929-09-06,1929,"Jask, Iran",Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,5,2,3,3,1,2,0,3
1929-09-14,1929,North Atlantic Ocean,Aeropostale,"Toulouse, France - Casablanca, Morocco",Latecoere 25,6,4,2,6,4,2,0,6
1929-09-14,1929,"Saint Catharines, Ontario",Skyways,Sightseeing,Travel Air 6000,6,5,1,6,5,1,0,6
1929-09-17,1929,"Mt Lamentation, Connecticut",Colonial Air Transport,,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1
1929-09-17,1929,"Off Larache, Morocco",Aeropostale,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Latecoere 25-3-R,5,3,2,5,3,2,0,5
1929-09-17,1929,"Jacumba, California",Pickwick Airways,Tijuana - Nogales,Fairchild 71,2,0,2,1,0,1,0,1
1929-10-26,1929,"Off Spezia, Italy",Imperial Airways,Naples - Genoa,Short Calcutta (flying boat),7,5,2,7,5,2,0,7
1929-10-29,1929,"Mount Vernon, Ohio",Continental Air Lines,Cleveland - Louisville,Stearman C-38,1,0,1,1,0,1,0,1
1929-10-31,1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton - Seattle,Loening C-2C,2,0,2,2,0,2,0,2
1929-11-04,1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,4,3,1,4,3,1,0,4
1929-11-06,1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,8,4,4,7,3,4,0,7
1929-11-16,1929,"Off Corsica, France",Air Union,Marseille - Ajaccio - Tunis,Liore et Olivier 190,3,0,3,3,0,3,0,3
1929-11-20,1929,"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,"Cagliari, Terranova - Rome",Savoia Marchetti S55,12,9,3,1,1,0,0,1
1929-11-30,1929,"Vancouver, Washington",Varney Air Lines,,Stearman M-2 Speedmail,1,0,1,1,0,1,0,1
1929-12-02,1929,"Chagrin Falls, Ohio",National Air Transport,,Douglas M-3,1,0,1,1,0,1,0,1
1929-12-19,1929,"Near Berlin, Germany",Deutsche Lufthansa,Marseille - Berlin,Arado V1,3,0,2,2,0,2,0,2
1929-12-30,1929,"Amarillo, Texas",Trans Continental Air Transport,Demonistration,Travel Air B6000,5,3,2,5,3,2,0,5
1930-01-10,1930,"Brawnson, Nebraska",Boeing Air Transport,,Boeing 95,1,0,1,1,0,1,0,1
