fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1948-01-20,1948,"Near Mukden, China",China National Aviation Corporation,,Curtiss C-46,54,51,3,11,11,0,0,11
1948-01-28,1948,"Diablo Mts., California",Airline Transport Carriers,Burbank - Oakland,Douglas DC-3 (C-47B-DK),32,29,3,32,29,3,0,32
1948-01-30,1948,"Atlantic Ocean, NE of Bermuda",British South American Airways,London - Havana,Avro 688 Tudor I,31,25,6,31,25,6,0,31
1948-02-07,1948,"Off Jacksonville, Florida",Eastern Air Lines,Boston- NY-West Palm Beach- Miami,Lockheed L-649 Constellation,69,63,6,1,0,1,0,1
1948-02-10,1948,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Bandung - Jakarta - Banjoemans - Semarang,Douglas DC-3,19,15,4,19,15,4,0,19
1948-02-12,1948,"Ubrichstein, Germany",Det Danske Luftfartselskab,Giessen - Bad Homberg,Douglas DC-3,21,17,4,12,8,4,0,12
1948-02-20,1948,"Collesalvetti,  Italy",Società Aerea Teseo,Florence - Pisa - Rome,Douglas C-47-DL,10,7,3,7,4,3,0,7
1948-02-21,1948,"Off St. Marcouf, France",Latecoere Airlines,,Latecoere 631 (flying boat),14,7,7,14,7,7,0,14
1948-02-23,1948,"Davao, Philippines",Commercial Airways,,Douglas DC-3,12,9,3,12,9,3,0,12
1948-02-25,1948,"Columbus, Ohio",Bruning Aviation,"Pittsburgh, PA - Columbus, OH",Douglas C-47A,2,0,2,2,0,2,0,2
1948-02-27,1948,"Near Belem, Brazil",Military - Brazilian Air Force,Rio de Janeiro - Bele - Cayenne,Douglas C-47,26,20,6,23,17,6,0,23
1948-03-02,1948,"Off Perpignan, France",Société de Transports Aériens,Oran - Perpignan - Lyon,Junkers Ju-52/3m,4,0,4,4,0,4,0,4
1948-03-02,1948,"Heathrow Airport, London, England",Sabena,Brussels - London,Douglas DC-3,22,19,3,20,17,3,0,20
1948-03-07,1948,"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Vestmannaeyjar - Reykjavik,Avro Anson,4,2,2,4,2,2,0,4
1948-03-10,1948,"Chicago, Illinois",Delta Air Lines,Chicago - Miami,Douglas DC-4,13,9,4,12,8,4,0,12
1948-03-12,1948,"Mt. Sanford, Alaska",Northwest Orient Airlines,Anchorage - New York City,Douglas DC-4 (C-54G-1-DO),30,24,6,30,24,6,0,30
1948-03-13,1948,"Sierra Cristais, Brazil",Cruzeiro,,Douglas DC-3,6,3,3,6,3,3,0,6
1948-03-15,1948,"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,El Secreto - Bogota,Douglas DC-3 (C47-DL),14,10,4,14,10,4,0,14
1948-03-27,1948,"Monte Cardo, Corsica, France",Indian National Airlines,Delhi - Rome - London,Vickers 604 Viking 1B,19,15,4,19,15,4,0,19
1948-04-05,1948,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,London - Berlin,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4,14,10,4,0,14
1948-04-10,1948,"Kano, Nigeria",Air France,Lagos - Kano - Algiers - Paris,Douglas DC-4,6,0,6,1,0,1,0,1
1948-04-15,1948,"Shannon, Ireland",Pan American World Airways,Belgium - Shannon,Lockheed L-049-46 Constellation,31,21,10,30,20,10,0,30
1948-04-18,1948,Territory of New Guinea,New Guinea Air Traders,Lae - Bulolo,Lockheed Hudson IIIA,37,33,4,37,33,4,0,37
1948-04-24,1948,Near Irkutsk Russia,Aeroflot,Kirensk - Badaybo,Lisnov Li-2,29,25,4,28,24,4,0,28
1948-05-13,1948,"Mount Coron, France",Skyways of London,Croydon - Paris - Cannes,de Havilland Dove 1,4,2,2,4,2,2,0,4
1948-05-13,1948,"Near Magazini, Belgian Congo (Zaire)",Sabena,Leopoldville - Libenga,Douglas DC-4-1009,32,25,7,31,24,7,0,31
1948-05-15,1948,"Vrede, South Africa",Mercury Aviation,Durban - Johannesburg - London,Douglas DC-3-455,13,8,5,13,8,5,0,13
1948-05-16,1948,"Columbus, Ohio",Slick Airways,"Newark, NJ - Chicago, IL",Curtiss C-46E,2,0,2,2,0,2,0,2
1948-05-20,1948,"Near Bovingdon, England",Air Transport Charter,Valence - Bovingdon,Douglas C-47A,4,0,4,3,0,3,0,3
1948-05-22,1948,"Khabarovsk, Russia",Aeroflot,Petropavlovsk-Kamchatsky - Magadan,Douglas C-47,9,5,4,8,4,4,0,8
1948-05-25,1948,"Albacete, Spain",Alpha Airways,Albacete - Albacete,Handley Page Halifax C-8,4,0,4,4,0,4,1,5
1948-06-10,1948,Isle of Man,Hargreaves Airways,"Birmingham, England - Isle of Man",de Havilland DH-89A Dragon Rapide,8,7,1,6,5,1,0,6
1948-06-17,1948,"Mount Carmel, Pennsylvania",United Air Lines,Chicago - New York City,Douglas DC-6,43,39,4,43,39,4,0,43
1948-06-17,1948,"Over the Pearl River, China",Cathy Pacific,Macau - Hong Kong,PBY Catalina,26,23,3,25,22,3,0,25
1948-06-26,1948,"Maiquetia, Venezuela",Linea Aeropostal Venezolana,,Douglas DC-3,17,14,3,1,0,1,0,1
1948-07-01,1948,"Keerbergen, Belgium",Avio Linee Italiane,Milano - Brussels,Fiat G.212CP,12,7,5,8,4,4,0,8
1948-07-04,1948,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Stockholm - Amsterdam - Northolt,Douglas DC-6 / RAF York,39,26,13,39,26,13,0,39
1948-07-07,1948,"Djiring, French Indo-China",Aigle Azur,Saigon - Da Lat,Douglas DC-3,16,13,3,16,13,3,0,16
1948-07-14,1948,"Belem, Brazil",Aerovias Brasil,,Douglas C-47A,5,2,3,5,2,3,0,5
1948-07-16,1948,Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Macau - Hong Kong,Consolidated OA-10 Catalina,26,23,3,25,22,3,0,25
1948-07-24,1948,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Port Meunier - Gaspé,Douglas DC-3,29,27,2,29,27,2,0,29
1948-07-29,1948,"Buenos Aires, Argentina",ALFA,Rosario - Bueno Aires,Short Sandringham 2 (flying boat),24,18,6,18,16,2,0,18
1948-07-29,1948,"Tsingtao, China",Civil Air Transport,Qingdao - Jinan,Curtiss C-46D-20-CU,19,16,3,19,16,3,0,19
